00000|20212|03|0001|01/02/2021|02||BV|B02000033349|x|01/02/2021|||12.66|x|x|18|83.00|VTA||||0|D||||||0|x|x|x
00001|20212|03|0001|01/02/2021|02||BV|B02000033349|x|01/02/2021||||x|x||12.66|VTA||||0|H||||||0|x|x|x
00002|20212|03|0001|01/02/2021|02||BV|B02000033349|x|01/02/2021||||x|x||70.34|VTA||||0|H||||||0|x|x|x
00000|20212|03|0001|01/02/2021|02||BV|B02000033350|x|01/02/2021|||10.37|x|x|18|68.00|VTA||||0|D||||||0|x|x|x
00001|20212|03|0001|01/02/2021|02||BV|B02000033350|x|01/02/2021||||x|x||10.37|VTA||||0|H||||||0|x|x|x
00002|20212|03|0001|01/02/2021|02||BV|B02000033350|x|01/02/2021||||x|x||57.63|VTA||||0|H||||||0|x|x|x
00000|20212|03|0001|01/02/2021|02||BV|B02500011651|x|01/02/2021|||64.60|x|x|18|423.50|VTA||||0|D||||||0|x|x|x
00001|20212|03|0001|01/02/2021|02||BV|B02500011651|x|01/02/2021||||x|x||64.60|VTA||||0|H||||||0|x|x|x
00002|20212|03|0001|01/02/2021|02||BV|B02500011651|x|01/02/2021||||x|x||358.90|VTA||||0|H||||||0|x|x|x
00000|20212|03|0001|01/02/2021|02||BV|B02000033351|x|01/02/2021|||18.92|x|x|18|124.00|VTA||||0|D||||||0|x|x|x
00001|20212|03|0001|01/02/2021|02||BV|B02000033351|x|01/02/2021||||x|x||18.92|VTA||||0|H||||||0|x|x|x
00002|20212|03|0001|01/02/2021|02||BV|B02000033351|x|01/02/2021||||x|x||105.08|VTA||||0|H||||||0|x|x|x
00000|20212|03|0001|01/02/2021|02||BV|B02500011652|x|01/02/2021|||9.31|x|x|18|61.00|VTA||||0|D||||||0|x|x|x
00001|20212|03|0001|01/02/2021|02||BV|B02500011652|x|01/02/2021||||x|x||9.31|VTA||||0|H||||||0|x|x|x
00002|20212|03|0001|01/02/2021|02||BV|B02500011652|x|01/02/2021||||x|x||51.69|VTA||||0|H||||||0|x|x|x
