12121001|20212|03|0001|17/02/2021|02||NC|BC4200000184|17/02/2021|BV|B04200007790|0.0800|18|0.5000|VTA||||0|D||||||0
40111000|20212|03|0001|17/02/2021|02||NC|BC4200000184|17/02/2021|BV|B04200007790|||0.0800|VTA||||0|H||||||0
70921000|20212|03|0001|17/02/2021|02||NC|BC4200000184|17/02/2021|BV|B04200007790|||0.4200|VTA||||0|H||||||0
12121001|20212|03|0001|01/02/2021|02||BV|B02000033349|01/02/2021|||12.66|18|83.00|VTA||||0|D||||||0
40111000|20212|03|0001|01/02/2021|02||BV|B02000033349|01/02/2021|||||12.66|VTA||||0|H||||||0
70121000|20212|03|0001|01/02/2021|02||BV|B02000033349|01/02/2021|||||70.34|VTA||||0|H||||||0
12121001|20212|03|0001|01/02/2021|02||BV|B02000033350|01/02/2021|||10.37|18|68.00|VTA||||0|D||||||0
40111000|20212|03|0001|01/02/2021|02||BV|B02000033350|01/02/2021|||||10.37|VTA||||0|H||||||0
70121000|20212|03|0001|01/02/2021|02||BV|B02000033350|01/02/2021|||||57.63|VTA||||0|H||||||0
12121001|20212|03|0001|01/02/2021|02||BV|B02500011651|01/02/2021|||64.60|18|423.50|VTA||||0|D||||||0
40111000|20212|03|0001|01/02/2021|02||BV|B02500011651|01/02/2021|||||64.60|VTA||||0|H||||||0
70121000|20212|03|0001|01/02/2021|02||BV|B02500011651|01/02/2021|||||358.90|VTA||||0|H||||||0
12121001|20212|03|0001|01/02/2021|02||BV|B02000033351|01/02/2021|||18.92|18|124.00|VTA||||0|D||||||0
40111000|20212|03|0001|01/02/2021|02||BV|B02000033351|01/02/2021|||||18.92|VTA||||0|H||||||0
70121000|20212|03|0001|01/02/2021|02||BV|B02000033351|01/02/2021|||||105.08|VTA||||0|H||||||0
12121001|20212|03|0001|01/02/2021|02||BV|B02500011652|01/02/2021|||9.31|18|61.00|VTA||||0|D||||||0
40111000|20212|03|0001|01/02/2021|02||BV|B02500011652|01/02/2021|||||9.31|VTA||||0|H||||||0
70121000|20212|03|0001|01/02/2021|02||BV|B02500011652|01/02/2021|||||51.69|VTA||||0|H||||||0
12121001|20212|03|0001|01/02/2021|02||BV|B02000033352|01/02/2021|||27.46|18|180.00|VTA||||0|D||||||0
40111000|20212|03|0001|01/02/2021|02||BV|B02000033352|01/02/2021|||||27.46|VTA||||0|H||||||0
70121000|20212|03|0001|01/02/2021|02||BV|B02000033352|01/02/2021|||||152.54|VTA||||0|H||||||0
12121001|20212|03|0001|01/02/2021|02||BV|B02500011653|01/02/2021|||9.46|18|62.00|VTA||||0|D||||||0
40111000|20212|03|0001|01/02/2021|02||BV|B02500011653|01/02/2021|||||9.46|VTA||||0|H||||||0
